ID	CTLi_RNAseq_rep1	CTLi_RNAseq_rep2	CTLi_RNAseq_rep3	SPT6i_RNAseq_rep1	SPT6i_RNAseq_rep2	SPT6i_RNAseq_rep3
A2ML1	7.92896	7.48878	8.08489	3.60457	3.66129	4.02714
AADACL2	1.82463	3.1434	1.82133	-7.77386	-7.21317	-7.18766
AADAT	-3.08301	-2.23313	-2.60349	-4.17371	-4.19798	-4.00254
AAGAB	4.11724	4.2264	4.13445	5.27121	5.2372	5.12522
AAK1	1.34066	1.62958	1.13577	2.72272	2.52149	2.95422
AAMDC	0.645575	0.78991	0.291948	3.39172	3.59539	3.2438
AAMP	5.36121	5.43683	5.45267	7.33965	7.43173	7.24968
AAR2	3.40516	3.67589	3.16965	4.46456	4.51636	4.36872
AARS1	4.88026	5.15253	4.26617	2.92144	3.05653	2.97662
AATF	3.95705	4.09164	3.84605	5.07361	5.08515	5.1729
ABALON	0.540242	0.577394	-0.428702	2.48316	3.02916	2.38326
ABAT	0.48226	0.525967	1.0079	2.23713	2.32412	2.46704
ABCA11P	0.207887	0.134698	-0.214852	1.81874	2.07515	1.80857
ABCA13	-3.10779	-3.18428	-3.02768	0.121651	-0.263404	-0.0679647
ABCA2	0.155608	0.183505	0.295709	-1.99784	-1.57144	-1.51978
ABCA4	0.00143948	-0.0596679	-0.740865	-4.06051	-3.16278	-3.4743
ABCA5	1.04942	1.42818	1.11273	2.37505	2.29929	2.5589
ABCA9	-5.43222	-4.35286	-4.71824	-1.58433	-1.10425	-1.12937
ABCB8	1.78302	1.71028	1.9592	3.89145	3.94705	4.07462
ABCB9	-0.990656	-0.902834	-0.541151	3.63769	3.81203	3.74277
ABCC10	0.867878	1.14999	1.15984	1.94477	2.34308	2.48607
ABCC11	-6.46443	-5.68273	-7.08134	-2.58412	-2.73948	-2.57628
ABCD1	-0.0699493	-0.99898	0.711518	3.71335	3.89234	3.88775
ABCD4	1.14469	1.51264	1.74073	2.681	2.61222	2.43554
ABCF3	3.49091	3.59644	3.64309	4.6752	4.78285	4.73286
ABCG4	2.86332	2.81698	2.93644	-4.8421	-5.2814	-5.03349
ABHD10	0.868487	1.35078	1.03724	2.48888	2.38885	2.24576
ABHD11	-0.256125	-0.340463	0.00847001	5.1131	5.1094	4.5995
ABHD11-AS1	-2.26422	-3.1024	-1.96528	1.28893	1.5277	0.275677
ABHD12	4.19613	4.27942	4.02058	6.48685	6.63518	6.26642
ABHD12B	3.96441	4.49798	3.21775	-3.48763	-2.03385	-3.53885
ABHD13	1.833	1.99295	1.76621	3.34837	3.25531	3.11616
ABHD15	1.01654	1.14617	1.28398	2.55372	2.61854	2.56752
ABHD18	-0.861917	-0.778096	-0.802905	0.626704	0.507633	0.535408
ABHD2	2.74463	2.82523	2.73223	3.94841	4.03343	4.15084
ABHD3	1.58304	1.46545	1.95944	4.86376	4.53624	4.51202
ABHD4	3.86967	4.30472	4.24884	5.29924	5.30834	5.04386
ABHD6	2.13721	2.71082	2.28523	1.13148	1.14045	1.16597
ABL2	1.20236	1.64489	1.07162	2.98	2.9614	2.90122
ABLIM1	6.47731	6.46115	6.06832	2.26335	2.33108	2.62233
ABR	2.46678	2.76008	2.98918	0.675617	1.14588	1.00297
ABRACL	4.91132	5.09807	4.91821	6.58108	6.35926	6.08197
ABT1	2.63562	2.72647	2.57925	3.93177	4.01754	3.62664
ABTB1	1.69519	2.00793	2.04319	3.29236	3.57342	3.53951
ABTB2	3.00078	2.18978	2.90356	4.22747	4.28829	4.57697
ACAD10	0.620419	1.02065	0.989752	2.14626	2.16187	2.47126
ACAD8	4.90662	4.87288	4.58267	3.07068	3.31395	3.14746
ACAT2	4.64506	4.6192	4.72787	2.65427	2.7613	2.20933
ACBD3-AS1	2.93945	2.62986	2.4917	-1.36453	0.0460221	-2.15702
ACBD5	2.25871	2.50453	2.38594	4.01164	3.75991	3.88147
ACBD7	-6.09706	-5.5202	-4.79811	-2.05879	-1.9364	-2.01667
ACD	0.893078	1.00337	1.12467	2.2174	2.37567	2.41056
ACER1	4.63955	4.90157	4.82952	-3.62708	-2.80335	-2.66236
ACER2	0.374588	0.849087	0.669576	4.18218	4.17242	4.30323
ACKR2	-1.83699	-1.76263	-0.838912	2.65018	2.5142	2.79505
ACKR3	4.53047	4.3054	4.46328	-0.0860935	1.15047	0.849923
ACO2	4.42078	4.68038	4.42457	5.64434	5.74752	5.70867
ACOT11	2.39256	2.13807	2.67606	-1.97833	-1.5555	-1.78082
ACOT4	-1.40798	-0.891222	-1.48985	-3.33519	-2.58184	-2.97137
ACP1	4.15493	4.25026	4.05472	5.5269	5.56545	5.2
ACP2	1.84919	2.44087	2.24444	4.52389	4.61967	4.49699
ACP3	2.70287	3.00509	2.6957	-1.46808	-1.17532	-0.919028
ACP6	-1.83314	-1.69238	-1.37968	0.766919	0.640767	0.804131
ACP7	6.9952	6.69491	6.2535	1.51578	2.05215	2.05709
ACSBG1	-0.0140116	1.47325	0.504016	-4.37954	-3.86978	-4.33431
ACSF3	0.330581	0.625205	0.246716	1.50092	1.67937	1.70326
ACSL3	4.01291	4.36805	3.82987	5.85195	5.94518	5.78511
ACSS2	2.94946	3.01399	3.16726	1.40182	1.39914	1.2008
ACTA2	-0.778117	0.515291	-0.54926	4.53602	4.50941	4.70128
ACTB	10.6445	10.1363	10.4058	9.23657	9.42567	9.2876
ACTG1	10.6379	10.2701	10.1886	9.18566	9.36826	9.24476
ACTG1P20	3.28934	3.35357	2.94452	2.15131	2.12293	2.21701
ACTL6A	3.14244	3.46867	3.29178	4.44125	4.37574	4.24603
ACTR3C	-1.80067	-1.67769	-1.87349	-3.49626	-3.48178	-3.58093
ACTRT3	-1.83537	-1.41897	-1.46242	0.183553	0.340892	0.19357
ACVR1	2.32005	2.56974	2.49906	3.91001	3.83031	3.88952
ACVR2A	1.04885	1.41094	0.783737	2.98357	2.7253	2.85934
ACVR2B-AS1	-5.67601	-4.77723	-5.11403	-0.391681	-0.275288	-0.261647
ACYP1	0.602938	1.15471	0.809439	2.38896	2.31298	2.01525
ACYP2	0.34909	0.20876	-0.0736946	1.16834	1.32536	1.42649
ADAL	-0.97592	-0.402579	-0.763163	0.842924	0.472273	0.486413
