ProbeID	Name	GSM4634681	GSM4634685	GSM4634683	GSM4634682	GSM4634686	GSM4634684
A2ML1	A2ML1: 	3.60457	7.48878	4.02714	3.66129	8.08489	7.92896
AADACL2	AADACL2: 	-7.77386	3.1434	-7.18766	-7.21317	1.82133	1.82463
AADAT	AADAT: 	-4.17371	-2.23313	-4.00254	-4.19798	-2.60349	-3.08301
AAGAB	AAGAB: 	5.27121	4.2264	5.12522	5.2372	4.13445	4.11724
AAK1	AAK1: 	2.72272	1.62958	2.95422	2.52149	1.13577	1.34066
AAMDC	AAMDC: 	3.39172	0.78991	3.2438	3.59539	0.291948	0.645575
AAMP	AAMP: 	7.33965	5.43683	7.24968	7.43173	5.45267	5.36121
AAR2	AAR2: 	4.46456	3.67589	4.36872	4.51636	3.16965	3.40516
AARS1	AARS1: 	2.92144	5.15253	2.97662	3.05653	4.26617	4.88026
AATF	AATF: 	5.07361	4.09164	5.1729	5.08515	3.84605	3.95705
ABALON	ABALON: 	2.48316	0.577394	2.38326	3.02916	-0.428702	0.540242
ABAT	ABAT: 	2.23713	0.525967	2.46704	2.32412	1.0079	0.48226
ABCA11P	ABCA11P: 	1.81874	0.134698	1.80857	2.07515	-0.214852	0.207887
ABCA13	ABCA13: 	0.121651	-3.18428	-0.0679647	-0.263404	-3.02768	-3.10779
ABCA2	ABCA2: 	-1.99784	0.183505	-1.51978	-1.57144	0.295709	0.155608
ABCA4	ABCA4: 	-4.06051	-0.0596679	-3.4743	-3.16278	-0.740865	0.00143948
ABCA5	ABCA5: 	2.37505	1.42818	2.5589	2.29929	1.11273	1.04942
ABCA9	ABCA9: 	-1.58433	-4.35286	-1.12937	-1.10425	-4.71824	-5.43222
ABCB8	ABCB8: 	3.89145	1.71028	4.07462	3.94705	1.9592	1.78302
ABCB9	ABCB9: 	3.63769	-0.902834	3.74277	3.81203	-0.541151	-0.990656
ABCC10	ABCC10: 	1.94477	1.14999	2.48607	2.34308	1.15984	0.867878
ABCC11	ABCC11: 	-2.58412	-5.68273	-2.57628	-2.73948	-7.08134	-6.46443
ABCD1	ABCD1: 	3.71335	-0.99898	3.88775	3.89234	0.711518	-0.0699493
ABCD4	ABCD4: 	2.681	1.51264	2.43554	2.61222	1.74073	1.14469
ABCF3	ABCF3: 	4.6752	3.59644	4.73286	4.78285	3.64309	3.49091
ABCG4	ABCG4: 	-4.8421	2.81698	-5.03349	-5.2814	2.93644	2.86332
ABHD10	ABHD10: 	2.48888	1.35078	2.24576	2.38885	1.03724	0.868487
ABHD11	ABHD11: 	5.1131	-0.340463	4.5995	5.1094	0.00847001	-0.256125
ABHD11-AS1	ABHD11-AS1: 	1.28893	-3.1024	0.275677	1.5277	-1.96528	-2.26422
ABHD12	ABHD12: 	6.48685	4.27942	6.26642	6.63518	4.02058	4.19613
ABHD12B	ABHD12B: 	-3.48763	4.49798	-3.53885	-2.03385	3.21775	3.96441
ABHD13	ABHD13: 	3.34837	1.99295	3.11616	3.25531	1.76621	1.833
ABHD15	ABHD15: 	2.55372	1.14617	2.56752	2.61854	1.28398	1.01654
ABHD18	ABHD18: 	0.626704	-0.778096	0.535408	0.507633	-0.802905	-0.861917
ABHD2	ABHD2: 	3.94841	2.82523	4.15084	4.03343	2.73223	2.74463
ABHD3	ABHD3: 	4.86376	1.46545	4.51202	4.53624	1.95944	1.58304
ABHD4	ABHD4: 	5.29924	4.30472	5.04386	5.30834	4.24884	3.86967
ABHD6	ABHD6: 	1.13148	2.71082	1.16597	1.14045	2.28523	2.13721
ABL2	ABL2: 	2.98	1.64489	2.90122	2.9614	1.07162	1.20236
ABLIM1	ABLIM1: 	2.26335	6.46115	2.62233	2.33108	6.06832	6.47731
ABR	ABR: 	0.675617	2.76008	1.00297	1.14588	2.98918	2.46678
ABRACL	ABRACL: 	6.58108	5.09807	6.08197	6.35926	4.91821	4.91132
ABT1	ABT1: 	3.93177	2.72647	3.62664	4.01754	2.57925	2.63562
ABTB1	ABTB1: 	3.29236	2.00793	3.53951	3.57342	2.04319	1.69519
ABTB2	ABTB2: 	4.22747	2.18978	4.57697	4.28829	2.90356	3.00078
ACAD10	ACAD10: 	2.14626	1.02065	2.47126	2.16187	0.989752	0.620419
ACAD8	ACAD8: 	3.07068	4.87288	3.14746	3.31395	4.58267	4.90662
ACAT2	ACAT2: 	2.65427	4.6192	2.20933	2.7613	4.72787	4.64506
