ProbeID	GSM4634681	GSM4634685	GSM4634683	GSM4634682	GSM4634686	GSM4634684
A2ML1	12.0	179.0	16.0	12.0	271.0	243.0
AADACL2	0.0	8.0	0.0	0.0	3.0	3.0
AADAT	0.0	0.0	0.0	0.0	0.0	0.0
AAGAB	38.0	18.0	34.0	37.0	17.0	17.0
AAK1	6.0	3.0	7.0	5.0	2.0	2.0
AAMDC	10.0	1.0	9.0	12.0	1.0	1.0
AAMP	161.0	43.0	152.0	172.0	43.0	41.0
AAR2	22.0	12.0	20.0	22.0	8.0	10.0
AARS1	7.0	35.0	7.0	8.0	19.0	29.0
AATF	33.0	17.0	36.0	33.0	14.0	15.0
ABALON	5.0	1.0	5.0	8.0	0.0	1.0
ABAT	4.0	1.0	5.0	5.0	2.0	1.0
ABCA11P	3.0	1.0	3.0	4.0	0.0	1.0
ABCA13	1.0	0.0	0.0	0.0	0.0	0.0
ABCA2	0.0	1.0	0.0	0.0	1.0	1.0
ABCA4	0.0	0.0	0.0	0.0	0.0	1.0
ABCA5	5.0	2.0	5.0	4.0	2.0	2.0
ABCA9	0.0	0.0	0.0	0.0	0.0	0.0
ABCB8	14.0	3.0	16.0	15.0	3.0	3.0
ABCB9	12.0	0.0	13.0	14.0	0.0	0.0
ABCC10	3.0	2.0	5.0	5.0	2.0	1.0
ABCC11	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1	13.0	0.0	14.0	14.0	1.0	0.0
ABCD4	6.0	2.0	5.0	6.0	3.0	2.0
ABCF3	25.0	12.0	26.0	27.0	12.0	11.0
ABCG4	0.0	7.0	0.0	0.0	7.0	7.0
ABHD10	5.0	2.0	4.0	5.0	2.0	1.0
ABHD11	34.0	0.0	24.0	34.0	1.0	0.0
ABHD11-AS1	2.0	0.0	1.0	2.0	0.0	0.0
ABHD12	89.0	19.0	76.0	99.0	16.0	18.0
ABHD12B	0.0	22.0	0.0	0.0	9.0	15.0
ABHD13	10.0	3.0	8.0	9.0	3.0	3.0
ABHD15	5.0	2.0	5.0	6.0	2.0	2.0
ABHD18	1.0	0.0	1.0	1.0	0.0	0.0
ABHD2	15.0	7.0	17.0	16.0	6.0	6.0
ABHD3	29.0	2.0	22.0	23.0	3.0	2.0
ABHD4	39.0	19.0	32.0	39.0	19.0	14.0
ABHD6	2.0	6.0	2.0	2.0	4.0	4.0
ABL2	7.0	3.0	7.0	7.0	2.0	2.0
ABLIM1	4.0	88.0	6.0	5.0	67.0	89.0
ABR	1.0	6.0	2.0	2.0	7.0	5.0
ABRACL	95.0	34.0	67.0	82.0	30.0	30.0
ABT1	15.0	6.0	12.0	16.0	5.0	6.0
ABTB1	9.0	4.0	11.0	11.0	4.0	3.0
ABTB2	18.0	4.0	23.0	19.0	7.0	8.0
ACAD10	4.0	2.0	5.0	4.0	1.0	1.0
