AffyID	name	thr	mean	mean-thr	perc	min	max	sd	thrNum	hi	int	lo
RORA-AS1	RORA-AS1	-3.13	-3.13	-0.00	0.00	-5.68	0.00	1.78	3	3	0	3
NUCB1	NUCB1	5.99	5.99	0.00	0.00	5.36	6.69	0.61	3	2	1	3
MYO15A	MYO15A	-4.32	-4.32	0.00	0.00	-6.74	0.00	2.08	3	3	0	3
DDX49	DDX49	4.09	4.09	0.00	0.00	3.39	4.90	0.61	3	1	2	3
PLXNB1	PLXNB1	4.87	4.87	-0.00	0.00	3.92	5.78	0.77	3	3	1	2
EFEMP2	EFEMP2	0.78	0.78	0.00	0.00	-0.65	2.11	1.21	3	3	0	3
CLOCK	CLOCK	2.56	2.56	-0.00	0.00	1.62	3.53	0.89	3	3	0	3
NGFR	NGFR	-1.73	-1.73	0.00	0.00	-4.62	0.44	1.97	3	3	0	3
RSBN1L	RSBN1L	1.61	1.61	0.00	0.00	0.76	2.34	0.63	3	2	2	2
REL	REL	2.29	2.29	0.00	0.00	1.41	3.24	0.79	3	3	0	3
NR1D2	NR1D2	3.98	3.98	-0.00	0.00	2.70	5.17	1.11	3	3	0	3
ITSN1	ITSN1	1.44	1.44	0.00	0.00	0.46	2.51	0.85	3	3	0	3
ZBED9	ZBED9	0.12	0.12	0.00	0.00	-0.98	1.24	0.95	3	3	0	3
XXYLT1	XXYLT1	0.28	0.28	0.00	0.00	-1.00	1.48	1.02	3	3	0	3
ZSCAN4	ZSCAN4	-0.33	-0.33	-0.00	0.00	-4.19	3.05	3.31	3	3	0	3
KLHDC2	KLHDC2	2.96	2.96	0.00	0.00	2.13	3.66	0.65	3	3	1	2
CAMKK1	CAMKK1	-1.37	-1.37	0.00	0.00	-3.69	0.62	1.80	3	3	0	3
GATA3	GATA3	3.78	3.78	0.00	0.00	2.95	4.57	0.69	3	3	0	3
RAPGEF4	RAPGEF4	-1.71	-1.71	0.00	0.00	-4.98	1.76	2.74	3	3	0	3
ORC3	ORC3	3.26	3.26	0.00	0.00	2.07	4.30	0.98	3	3	0	3
BEX3	BEX3	4.61	4.61	0.00	0.00	3.20	6.03	1.31	3	3	0	3
TM2D2	TM2D2	3.38	3.38	0.00	0.00	2.55	4.26	0.74	3	2	1	3
SUSD6	SUSD6	5.21	5.21	0.00	0.00	4.37	6.00	0.68	3	3	1	2
DMTF1	DMTF1	2.69	2.69	0.00	0.00	1.89	3.44	0.63	3	3	1	2
ARHGAP23	ARHGAP23	3.04	3.04	0.00	0.00	1.77	4.12	0.94	3	3	0	3
RFX2	RFX2	0.27	0.27	-0.00	0.00	-0.56	1.25	0.72	3	2	1	3
ZNF785	ZNF785	0.25	0.25	-0.00	0.00	-1.26	1.27	0.99	3	3	0	3
AKR1C2	AKR1C2	2.95	2.95	0.00	0.00	0.20	6.01	2.72	3	3	0	3
AADAT	AADAT	-3.38	-3.38	-0.00	0.00	-4.20	0.00	0.78	3	2	1	3
STUB1	STUB1	5.56	5.56	-0.00	0.00	4.84	6.37	0.63	3	2	1	3
N4BP2	N4BP2	1.63	1.63	0.00	0.00	0.88	2.54	0.76	3	2	1	3
TRIM52-AS1	TRIM52-AS1	-0.35	-0.35	-0.00	0.00	-1.23	0.70	0.76	3	2	2	2
RALGDS	RALGDS	4.21	4.21	-0.00	0.00	3.38	4.82	0.61	3	3	1	2
MESP2	MESP2	-2.29	-2.29	0.00	0.00	-3.47	0.00	0.89	3	3	0	3
DKK1	DKK1	4.82	4.82	0.00	0.00	2.29	6.85	1.92	3	3	0	3
FLJ37201	FLJ37201	-3.24	-3.24	0.00	0.00	-4.47	0.00	1.04	3	3	0	3
NEK9	NEK9	2.78	2.78	0.00	0.00	1.94	3.42	0.64	3	3	1	2
KRT19	KRT19	7.95	7.95	0.00	0.00	6.65	8.87	0.92	3	3	1	2
TCEAL8	TCEAL8	4.10	4.10	0.00	0.00	3.37	4.76	0.54	3	2	3	1
ANO6	ANO6	3.64	3.64	-0.00	0.00	2.62	4.68	0.87	3	3	0	3
YTHDF2	YTHDF2	5.40	5.40	-0.00	0.00	4.76	5.99	0.52	3	2	3	1
CALU	CALU	4.31	4.31	0.00	0.00	3.32	5.18	0.81	3	3	0	3
ZNRD2	ZNRD2	3.92	3.92	0.00	0.00	3.13	4.79	0.66	3	2	1	3
TSGA10	TSGA10	0.47	0.47	-0.00	0.00	-1.81	2.58	2.01	3	3	0	3
DNAH5	DNAH5	-4.25	-4.25	0.00	0.00	-6.14	0.00	1.40	3	3	0	3
TVP23B	TVP23B	4.71	4.71	0.00	0.00	3.94	5.42	0.65	3	3	0	3
ALDH4A1	ALDH4A1	2.28	2.28	0.00	0.00	1.63	2.90	0.57	3	2	2	2
RTN4RL1	RTN4RL1	-2.47	-2.47	0.00	0.00	-4.90	0.00	1.98	3	3	0	3
HERC5	HERC5	0.13	0.13	0.00	0.00	-2.51	2.58	1.92	3	3	0	3
SRRM3	SRRM3	1.42	1.42	-0.00	0.00	-0.68	3.28	1.62	3	3	0	3
ZNF225	ZNF225	-0.39	-0.39	0.00	0.00	-1.91	0.90	1.13	3	3	1	2
ATG9A	ATG9A	4.50	4.50	0.00	0.00	3.73	5.29	0.71	3	3	0	3
WDHD1	WDHD1	0.87	0.87	-0.00	0.00	-0.28	1.95	0.93	3	3	0	3
ABCB9	ABCB9	1.46	1.46	0.00	0.00	-0.99	3.81	2.28	3	3	0	3
ILDR1	ILDR1	-0.45	-0.45	-0.00	0.00	-2.05	1.14	1.55	3	3	0	3
RP9P	RP9P	0.06	0.06	0.00	0.00	-1.75	1.81	1.49	3	3	0	3
MTMR14	MTMR14	3.39	3.39	0.00	0.00	2.52	4.17	0.72	3	3	0	3
CA3-AS1	CA3-AS1	-0.59	-0.59	0.00	0.00	-2.89	1.61	2.04	3	3	0	3
CDK5RAP3	CDK5RAP3	4.62	4.62	0.00	0.00	3.53	5.72	0.87	3	3	1	2
TRNT1	TRNT1	1.57	1.57	0.00	0.00	0.77	2.17	0.57	3	2	2	2
FIGNL1	FIGNL1	0.54	0.54	0.00	0.00	-0.14	1.32	0.63	3	2	1	3
LIPK	LIPK	3.25	3.25	-0.00	0.00	1.54	4.91	1.52	3	3	0	3
HSP90AA1	HSP90AA1	8.35	8.35	0.00	0.00	7.54	9.09	0.68	3	3	0	3
CD164	CD164	6.50	6.50	0.00	0.00	5.26	7.79	1.12	3	3	0	3
GTF2IRD2B	GTF2IRD2B	0.79	0.79	0.00	0.00	-0.66	2.02	1.11	3	3	1	2
UBE2S	UBE2S	2.81	2.81	-0.00	0.00	1.59	4.09	0.93	3	3	0	3
TRAM2	TRAM2	1.39	1.39	-0.00	0.00	0.14	2.40	0.89	3	3	0	3
CLYBL	CLYBL	-2.90	-2.90	-0.00	0.00	-3.84	0.00	0.86	3	2	1	3
EMC8	EMC8	3.15	3.15	0.00	0.00	2.41	4.01	0.68	3	2	1	3
ZNF8	ZNF8	-0.13	-0.13	-0.00	0.00	-0.93	0.54	0.57	3	2	2	2
PLCG1	PLCG1	2.51	2.51	-0.00	0.00	1.57	3.48	0.82	3	2	2	2
AOC3	AOC3	-1.76	-1.76	-0.00	0.00	-3.94	0.23	1.77	3	3	0	3
LOC102723373	LOC102723373	-0.70	-0.70	0.00	0.00	-2.99	1.12	1.70	3	3	0	3
FLRT1	FLRT1	-3.12	-3.12	0.00	0.00	-5.04	0.00	1.44	3	3	0	3
MED4	MED4	4.21	4.21	0.00	0.00	3.39	5.11	0.75	3	3	0	3
SELENOF	SELENOF	5.55	5.55	0.00	0.00	4.83	6.35	0.65	3	2	2	2
RBFA	RBFA	-0.44	-0.44	-0.00	0.00	-1.20	0.16	0.56	3	2	2	2
YKT6	YKT6	5.95	5.95	-0.00	0.00	5.23	6.75	0.71	3	3	0	3
HMGCR	HMGCR	5.99	5.99	0.00	0.00	5.16	6.95	0.73	3	3	0	3
FCF1	FCF1	3.13	3.13	-0.00	0.00	2.42	3.80	0.59	3	2	2	2
EIF3C	EIF3C	4.36	4.36	0.00	0.00	3.65	5.04	0.66	3	3	0	3
TTC14	TTC14	2.54	2.54	0.00	0.00	0.83	3.92	1.31	3	3	0	3
TULP1	TULP1	-3.00	-3.00	0.00	0.00	-4.84	0.00	1.19	3	3	0	3
ZNF37A	ZNF37A	1.02	1.02	0.00	0.00	-0.32	2.18	1.06	3	3	0	3
HAUS6	HAUS6	2.15	2.15	-0.00	0.00	1.21	3.06	0.81	3	3	0	3
DNAAF2	DNAAF2	1.86	1.86	0.00	0.00	1.15	2.54	0.64	3	3	0	3
NR3C2	NR3C2	-3.29	-3.29	0.00	0.00	-4.11	0.00	0.65	3	3	1	2
ISCU	ISCU	3.62	3.62	0.00	0.00	2.62	4.72	0.97	3	3	0	3
PERM1	PERM1	-2.04	-2.04	0.00	0.00	-3.81	0.00	1.17	3	3	0	3
NGEF	NGEF	-4.45	-4.45	0.00	0.00	-7.22	0.00	2.11	3	3	0	3
ACOT11	ACOT11	0.32	0.32	0.00	0.00	-1.98	2.68	2.10	3	3	0	3
SUSD4	SUSD4	-0.87	-0.87	0.00	0.00	-3.01	1.21	1.90	3	3	0	3
KLHDC9	KLHDC9	1.46	1.46	-0.00	0.00	-0.40	3.11	1.56	3	3	0	3
ZC3H18	ZC3H18	3.61	3.61	-0.00	0.00	2.84	4.42	0.73	3	3	0	3
NUPR1	NUPR1	1.06	1.06	0.00	0.00	-1.21	3.66	2.21	3	3	0	3
ZNF768	ZNF768	3.43	3.43	0.00	0.00	2.66	4.08	0.58	3	2	2	2
TOP3A	TOP3A	2.31	2.31	-0.00	0.00	1.18	3.30	0.97	3	3	0	3
DCP1A	DCP1A	2.20	2.20	0.00	0.00	1.48	2.89	0.57	3	2	3	1
HIBCH	HIBCH	2.92	2.92	0.00	0.00	1.93	3.65	0.70	3	3	1	2
GNPDA2	GNPDA2	2.80	2.80	-0.00	0.00	1.83	3.56	0.67	3	3	1	2
TRAF6	TRAF6	1.71	1.71	-0.00	0.00	0.78	2.51	0.74	3	3	0	3
LSR	LSR	6.24	6.24	-0.00	0.00	4.54	7.85	1.42	3	3	0	3
PLBD2	PLBD2	3.15	3.15	-0.00	0.00	2.39	3.71	0.55	3	2	2	2
SREK1	SREK1	3.06	3.06	0.00	0.00	2.31	3.77	0.64	3	3	1	2
PAG1	PAG1	-1.58	-1.58	-0.00	0.00	-3.61	1.11	1.85	3	3	0	3
FKBP1B	FKBP1B	1.28	1.28	0.00	0.00	-0.28	2.69	1.12	3	3	0	3
HERC2P9	HERC2P9	1.81	1.81	-0.00	0.00	1.05	2.53	0.55	3	1	3	2
FAM72C	FAM72C	-1.45	-1.45	-0.00	0.00	-3.38	0.54	1.57	3	3	0	3
PNKD	PNKD	1.80	1.80	0.00	0.00	0.77	2.75	0.85	3	3	0	3
WWC2	WWC2	2.17	2.17	-0.00	0.00	0.80	3.39	1.18	3	3	0	3
IER3IP1	IER3IP1	4.00	4.00	0.00	0.00	3.15	4.78	0.67	3	2	2	2
FIG4	FIG4	2.72	2.72	0.00	0.00	2.03	3.37	0.58	3	3	1	2
XRRA1	XRRA1	1.30	1.30	-0.00	0.00	0.44	2.07	0.72	3	3	1	2
AFAP1L1	AFAP1L1	-0.31	-0.31	0.00	0.00	-1.69	1.30	1.31	3	3	0	3
RPL19	RPL19	7.89	7.89	-0.00	0.00	7.21	8.54	0.56	3	2	2	2
LNX1-AS2	LNX1-AS2	-3.54	-3.54	-0.00	0.00	-5.32	0.00	1.22	3	3	0	3
MVK	MVK	3.41	3.41	-0.00	0.00	1.88	4.93	1.29	3	3	0	3
OCIAD1-AS1	OCIAD1-AS1	0.11	0.11	0.00	0.00	-1.12	1.75	1.14	3	3	0	3
COPS5	COPS5	5.55	5.55	-0.00	0.00	4.88	6.19	0.55	3	2	2	2
CCND1	CCND1	5.10	5.10	0.00	0.00	3.69	6.46	1.29	3	3	0	3
OVCH2	OVCH2	-1.46	-1.46	0.00	0.00	-3.54	0.53	1.92	3	3	0	3
NPIPB2	NPIPB2	-1.91	-1.91	0.00	0.00	-4.46	0.10	1.94	3	3	0	3
MYOM1	MYOM1	-2.08	-2.08	-0.00	0.00	-4.30	0.00	1.74	3	3	0	3
ZDHHC18	ZDHHC18	2.65	2.65	0.00	0.00	1.85	3.39	0.66	3	2	1	3
TM4SF19	TM4SF19	-0.07	-0.07	0.00	0.00	-1.73	1.75	1.53	3	3	0	3
RHBDD2	RHBDD2	4.85	4.85	0.00	0.00	4.17	5.57	0.62	3	2	2	2
RRP8	RRP8	0.55	0.55	0.00	0.00	-0.35	1.32	0.70	3	3	0	3
MAN1B1	MAN1B1	4.66	4.66	0.00	0.00	3.44	5.83	1.10	3	3	0	3
H19	H19	1.22	1.22	-0.00	0.00	-2.71	5.04	3.39	3	3	0	3
AFTPH	AFTPH	4.79	4.79	0.00	0.00	4.18	5.37	0.51	3	2	3	1
ZCCHC2	ZCCHC2	1.26	1.26	0.00	0.00	0.28	2.21	0.84	3	3	0	3
ZNF721	ZNF721	2.19	2.19	0.00	0.00	1.39	2.87	0.60	3	2	2	2
ZNF738	ZNF738	-1.56	-1.56	-0.00	0.00	-3.62	0.00	1.43	3	3	0	3
CAMK2N1	CAMK2N1	5.62	5.62	0.00	0.00	3.16	7.77	2.03	3	3	0	3
HOXC10	HOXC10	2.91	2.91	-0.00	0.00	1.62	4.15	1.06	3	3	0	3
ADPRHL1	ADPRHL1	-0.93	-0.93	-0.00	0.00	-2.77	0.39	1.24	3	3	0	3
FOXO3	FOXO3	5.33	5.33	0.00	0.00	4.53	6.01	0.62	3	2	2	2
ATP1A1-AS1	ATP1A1-AS1	-1.07	-1.07	0.00	0.00	-2.33	0.23	1.01	3	3	0	3
NUDT6	NUDT6	-0.16	-0.16	-0.00	0.00	-1.27	1.18	0.94	3	3	0	3
ECE1	ECE1	3.94	3.94	0.00	0.00	2.51	5.30	1.32	3	3	0	3
TDRD7	TDRD7	2.80	2.80	-0.00	0.00	1.43	4.22	1.25	3	3	0	3
STT3B	STT3B	5.62	5.62	0.00	0.00	4.96	6.17	0.55	3	3	1	2
STRADB	STRADB	2.82	2.82	-0.00	0.00	1.53	4.03	1.10	3	3	0	3
1-Dec	1-Dec	-4.44	-4.44	0.00	0.00	-5.69	0.00	1.06	3	3	0	3
ANKRD40	ANKRD40	2.79	2.79	-0.00	0.00	1.79	3.76	0.86	3	3	0	3
GSTT1	GSTT1	3.92	3.92	-0.00	0.00	2.84	5.17	1.05	3	3	0	3
GSTK1	GSTK1	5.64	5.64	-0.00	0.00	5.01	6.39	0.57	3	1	3	2
HNRNPH2	HNRNPH2	4.16	4.16	0.00	0.00	2.83	5.43	1.18	3	3	0	3
PLA2G2F	PLA2G2F	1.81	1.81	-0.00	0.00	-0.46	3.83	1.83	3	3	0	3
HMGN1	HMGN1	7.02	7.02	-0.00	0.00	6.48	7.66	0.52	3	2	2	2
FRAT2	FRAT2	2.09	2.09	0.00	0.00	1.11	3.13	0.85	3	3	0	3
SQLE	SQLE	4.34	4.34	0.00	0.00	1.72	6.59	2.19	3	3	0	3
TBC1D3P2	TBC1D3P2	-14.60	-14.60	0.00	0.00	-26.58	0.00	11.98	3	3	0	3
LCN2	LCN2	9.74	9.74	0.00	0.00	8.20	11.64	1.38	3	3	0	3
GLCE	GLCE	1.82	1.82	-0.00	0.00	0.63	2.96	1.07	3	3	0	3
