ProbeID	Ptr	Name
ENSG00000006071	145	ABCC8
ENSG00000111271	382	ACAD10
ENSG00000102794	624	ACOD1
ENSG00000184227	861	ACOT1
ENSG00000162390	1099	ACOT11
ENSG00000161533	1337	ACOX1
ENSG00000075624	1573	ACTB
ENSG00000135074	1818	ADAM19
ENSG00000151651	2053	ADAM8
ENSG00000154734	2290	ADAMTS1
ENSG00000151388	2531	ADAMTS12
ENSG00000138316	2774	ADAMTS14
ENSG00000140470	3015	ADAMTS17
ENSG00000087116	3260	ADAMTS2
ENSG00000156140	3500	ADAMTS3
ENSG00000158859	3740	ADAMTS4
ENSG00000163638	3981	ADAMTS9
ENSG00000241684	4221	ADAMTS9-AS2
ENSG00000078549	4465	ADCYAP1R1
ENSG00000174837	4707	ADGRE1
ENSG00000123146	4946	ADGRE5
ENSG00000128271	5195	ADORA2A
ENSG00000282608	5435	ADORA3
ENSG00000204472	5675	AIF1
ENSG00000170776	5907	AKAP13
ENSG00000170017	6149	ALCAM
ENSG00000161905	6387	ALOX15
ENSG00000012779	6626	ALOX5
ENSG00000154188	6867	ANGPT1
ENSG00000091879	7107	ANGPT2
ENSG00000011201	7346	ANOS1
ENSG00000135046	7584	ANXA1
ENSG00000196975	7834	ANXA4
ENSG00000136250	8072	AOAH
ENSG00000130203	8318	APOE
ENSG00000109321	8554	AREG
ENSG00000165527	8790	ARF6
ENSG00000118520	9036	ARG1
ENSG00000214944	9273	ARHGEF28
ENSG00000129675	9511	ARHGEF6
ENSG00000162772	9754	ATF3
ENSG00000121578	9990	B4GALT4
ENSG00000156127	10228	BATF
ENSG00000123685	10466	BATF3
ENSG00000142867	10701	BCL10
ENSG00000171791	10939	BCL2
ENSG00000113916	11175	BCL6
ENSG00000015475	11412	BID
ENSG00000110330	11646	BIRC2
ENSG00000023445	11886	BIRC3
ENSG00000089685	12133	BIRC5
ENSG00000183682	12371	BMP8A
ENSG00000159388	12610	BTG2
ENSG00000010671	12850	BTK
ENSG00000186265	13083	BTLA
ENSG00000173372	13320	C1QA
ENSG00000173369	13557	C1QB
ENSG00000159189	13792	C1QC
ENSG00000125730	14028	C3
ENSG00000171860	14265	C3AR1
ENSG00000244731	14503	C4A
ENSG00000106804	14739	C5
ENSG00000197405	14973	C5AR1
ENSG00000179218	15212	CALR
ENSG00000164047	15458	CAMP
ENSG00000003400	15695	CASP10
ENSG00000137757	15932	CASP5
ENSG00000165806	16170	CASP7
ENSG00000105974	16406	CAV1
ENSG00000159228	16643	CBR1
ENSG00000108702	16886	CCL1
ENSG00000172156	17126	CCL11
ENSG00000181374	17364	CCL13
ENSG00000102970	17603	CCL17
ENSG00000275385	17837	CCL18
ENSG00000172724	18075	CCL19
ENSG00000108691	18312	CCL2
ENSG00000115009	18553	CCL20
ENSG00000102962	18790	CCL22
ENSG00000106178	19029	CCL24
ENSG00000151882	19267	CCL28
ENSG00000277632	19504	CCL3
ENSG00000275302	19746	CCL4
ENSG00000271503	19992	CCL5
ENSG00000108688	20239	CCL7
ENSG00000108700	20475	CCL8
ENSG00000157456	20715	CCNB2
ENSG00000163823	20951	CCR1
ENSG00000121807	21189	CCR2
ENSG00000183625	21426	CCR3
ENSG00000160791	21663	CCR5
ENSG00000112486	21897	CCR6
ENSG00000126353	22134	CCR7
ENSG00000179934	22370	CCR8
ENSG00000121797	22607	CCRL2
ENSG00000177697	22847	CD151
ENSG00000134061	23084	CD180
ENSG00000158477	23320	CD1A
ENSG00000158485	23556	CD1B
ENSG00000158481	23793	CD1C
ENSG00000158488	24029	CD1E
ENSG00000090659	24264	CD209
ENSG00000122223	24502	CD244
ENSG00000198821	24740	CD247
ENSG00000139193	24984	CD27
ENSG00000120217	25222	CD274
ENSG00000103855	25457	CD276
ENSG00000178562	25696	CD28
ENSG00000174059	25932	CD34
ENSG00000004468	26169	CD38
ENSG00000101017	26407	CD40
ENSG00000102245	26643	CD40LG
ENSG00000026508	26883	CD44
ENSG00000110848	27131	CD69
ENSG00000125726	27376	CD70
ENSG00000019582	27613	CD74
ENSG00000121594	27861	CD80
ENSG00000112149	28097	CD83
ENSG00000066294	28341	CD84
ENSG00000114013	28580	CD86
ENSG00000002586	28817	CD99
ENSG00000117399	29056	CDC20
ENSG00000039068	29292	CDH1
ENSG00000140937	29529	CDH11
ENSG00000140945	29767	CDH13
ENSG00000170558	30005	CDH2
ENSG00000179242	30243	CDH4
ENSG00000179776	30480	CDH5
ENSG00000124762	30717	CDKN1A
ENSG00000079385	30951	CEACAM1
ENSG00000124469	31190	CEACAM8
ENSG00000245848	31430	CEBPA
ENSG00000172216	31669	CEBPB
ENSG00000221869	31909	CEBPD
ENSG00000153879	32155	CEBPG
ENSG00000087237	32396	CETP
ENSG00000105205	32630	CLC
ENSG00000163347	32867	CLDN1
ENSG00000165682	33105	CLEC1B
ENSG00000258227	33344	CLEC5A
ENSG00000172243	33582	CLEC7A
ENSG00000197992	33820	CLEC9A
ENSG00000169504	34059	CLIC4
ENSG00000092009	34298	CMA1
ENSG00000142675	34535	CNKSR1
ENSG00000064666	34774	CNN2
ENSG00000123500	35017	COL10A1
ENSG00000060718	35257	COL11A1
ENSG00000111799	35500	COL12A1
ENSG00000187955	35740	COL14A1
ENSG00000204291	35979	COL15A1
ENSG00000065618	36218	COL17A1
ENSG00000164692	36458	COL1A2
ENSG00000168542	36697	COL3A1
ENSG00000187498	36930	COL4A1
ENSG00000134871	37169	COL4A2
ENSG00000163751	37408	CPA3
ENSG00000143320	37645	CRABP2
ENSG00000095794	37888	CREM
ENSG00000213145	38129	CRIP1
ENSG00000184371	38374	CSF1
ENSG00000182578	38609	CSF1R
ENSG00000164400	38848	CSF2
ENSG00000198223	39090	CSF2RA
ENSG00000108342	39330	CSF3
ENSG00000119535	39567	CSF3R
ENSG00000118523	39805	CTGF
ENSG00000163599	40042	CTLA4
ENSG00000168036	40281	CTNNB1
ENSG00000100448	40529	CTSG
ENSG00000135047	40766	CTSL
ENSG00000163131	41002	CTSS
ENSG00000077063	41248	CTTNBP2
ENSG00000006210	41488	CX3CL1
ENSG00000168329	41727	CX3CR1
ENSG00000163739	41970	CXCL1
ENSG00000169245	42208	CXCL10
ENSG00000169248	42447	CXCL11
ENSG00000156234	42687	CXCL13
ENSG00000161921	42926	CXCL16
ENSG00000081041	43165	CXCL2
ENSG00000163734	43401	CXCL3
ENSG00000163735	43639	CXCL5
ENSG00000124875	43878	CXCL6
ENSG00000169429	44116	CXCL8
ENSG00000138755	44364	CXCL9
ENSG00000180871	44602	CXCR2
ENSG00000186810	44842	CXCR3
ENSG00000121966	45080	CXCR4
ENSG00000165168	45326	CYBB
ENSG00000138061	45568	CYP1B1
ENSG00000160868	45806	CYP3A4
ENSG00000142871	46045	CYR61
ENSG00000173198	46283	CYSLTR1
ENSG00000115165	46522	CYTIP
ENSG00000164535	46769	DAGLB
ENSG00000204209	47006	DAXX
ENSG00000162733	47241	DDR2
ENSG00000175084	47477	DES
ENSG00000105993	47713	DNAJB6
ENSG00000197635	47962	DPP4
ENSG00000120129	48201	DUSP1
ENSG00000158050	48442	DUSP2
ENSG00000139318	48681	DUSP6
	48917	EDN
ENSG00000156508	49140	EEF1A1
ENSG00000138798	49386	EGF
ENSG00000122877	49622	EGR2
ENSG00000179388	49857	EGR3
ENSG00000148730	50097	EIF4EBP2
ENSG00000197561	50336	ELANE
ENSG00000118985	50575	ELL2
ENSG00000170522	50813	ELOVL6
ENSG00000134531	51051	EMP1
ENSG00000163064	51286	EN1
ENSG00000171617	51522	ENC1
ENSG00000138792	51762	ENPEP
ENSG00000136960	52000	ENPP2
ENSG00000106123	52239	EPHB6
ENSG00000121053	52478	EPX
ENSG00000012061	52714	ERCC1
ENSG00000157554	52953	ERG
ENSG00000134954	53189	ETS1
ENSG00000158769	53436	F11R
ENSG00000170323	53671	FABP4
ENSG00000168040	53909	FADD
ENSG00000185104	54146	FAF1
ENSG00000026103	54379	FAS
ENSG00000169710	54615	FASN
ENSG00000165140	54853	FBP1
ENSG00000183580	55087	FBXL7
ENSG00000186431	55325	FCAR
ENSG00000179639	55565	FCER1A
ENSG00000104921	55804	FCER2
ENSG00000150337	56039	FCGR1A
ENSG00000143226	56278	FCGR2A
ENSG00000072694	56517	FCGR2B
ENSG00000203747	56752	FCGR3A
ENSG00000085265	56997	FCN1
ENSG00000070193	57233	FGF10
ENSG00000156427	57471	FGF18
ENSG00000138685	57709	FGF2
ENSG00000140285	57946	FGF7
ENSG00000077782	58183	FGFR1
ENSG00000136068	58420	FLNB
ENSG00000185070	58659	FLRT2
ENSG00000102755	58897	FLT1
ENSG00000122025	59133	FLT3
ENSG00000115414	59372	FN1
ENSG00000125740	59608	FOSB
ENSG00000175592	59843	FOSL1
ENSG00000171051	60082	FPR1
ENSG00000171049	60319	FPR2
ENSG00000187474	60555	FPR3
ENSG00000075618	60792	FSCN1
ENSG00000140564	61030	FURIN
ENSG00000196371	61268	FUT4
ENSG00000010810	61504	FYN
