AffyID	name	thr	mean	mean-thr	perc	min	max	sd	thrNum	hi	int	lo
ENSG00000139193	CD27	6.15	6.63	0.49	0.22	4.38	8.06	0.99	3	7	3	2
ENSG00000095951	HIVEP1	8.78	8.64	-0.14	-0.12	7.92	9.53	0.45	8	1	9	2
ENSG00000087116	ADAMTS2	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000134013	LOXL2	5.5	5.04	-0.46	-0.3	4.32	6.68	0.64	10	1	5	6
ENSG00000204257	HLA-DMA	8.21	8.12	-0.09	0.0	7.45	9.31	0.6	7	2	5	5
ENSG00000124731	TREM1	5.22	5.11	-0.12	0.0	4.32	6.54	0.75	7	4	3	5
ENSG00000115009	CCL20	6.65	6.41	-0.23	0.0	4.32	8.86	1.47	7	5	0	7
ENSG00000123500	COL10A1	4.48	4.35	-0.14	0.0	4.32	4.65	0.09	11	0	12	0
ENSG00000125968	ID1	6.21	5.36	-0.85	-0.3	4.32	8.23	1.14	10	2	2	8
ENSG00000128271	ADORA2A	5.63	5.84	0.21	0.12	4.32	6.83	0.7	4	5	5	2
ENSG00000204291	COL15A1	4.59	4.42	-0.16	-0.1	4.32	4.93	0.19	10	0	12	0
ENSG00000140945	CDH13	4.65	4.39	-0.26	-0.09	4.32	4.97	0.18	11	0	12	0
ENSG00000145850	TIMD4	4.6	4.41	-0.18	0.0	4.32	4.96	0.21	10	0	12	0
ENSG00000090104	RGS1	8.41	8.94	0.54	0.11	7.09	10.58	1.04	3	8	1	3
ENSG00000174130	TLR6	5.9	5.9	-0.0	0.0	4.32	7.26	0.89	6	3	6	3
ENSG00000177663	IL17RA	8.25	8.42	0.17	0.11	7.74	8.85	0.34	3	3	8	1
ENSG00000163161	ERCC3	7.38	7.44	0.06	0.33	7.17	7.6	0.13	3	0	12	0
ENSG00000034152	MAP2K3	9.54	9.39	-0.15	-0.12	8.7	10.09	0.45	8	2	8	2
ENSG00000134258	VTCN1	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000106804	C5	4.35	4.33	-0.02	0.0	4.32	4.37	0.01	11	0	12	0
ENSG00000138061	CYP1B1	8.53	8.71	0.18	0.0	7.33	9.78	0.62	4	3	8	1
ENSG00000163106	HPGDS	4.58	4.37	-0.22	0.0	4.32	4.84	0.14	11	0	12	0
ENSG00000260314	MRC1	6.59	6.81	0.22	0.0	4.32	8.92	1.51	5	6	2	4
ENSG00000125740	FOSB	6.59	6.59	-0.0	0.0	4.32	9.37	1.62	6	5	1	6
ENSG00000078081	LAMP3	8.7	8.29	-0.4	-0.33	7.12	9.74	0.83	9	3	3	6
ENSG00000011201	ANOS1	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000065618	COL17A1	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000164535	DAGLB	7.59	7.7	0.11	0.12	7.09	8.28	0.37	4	2	10	0
ENSG00000092009	CMA1	4.72	4.48	-0.24	-0.2	4.32	5.09	0.27	10	0	12	0
ENSG00000163737	PF4	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000169896	ITGAM	8.4	8.67	0.28	0.33	7.29	9.42	0.59	3	5	6	1
ENSG00000142867	BCL10	9.43	9.37	-0.06	-0.12	9.15	9.75	0.19	8	0	12	0
ENSG00000214944	ARHGEF28	5.34	5.18	-0.15	0.0	4.32	6.45	0.53	8	1	8	3
ENSG00000184979	USP18	6.23	5.45	-0.79	-0.3	4.32	7.53	1.03	10	2	2	8
ENSG00000105329	TGFB1	10.53	10.67	0.15	0.12	9.81	11.34	0.47	4	3	8	1
ENSG00000086730	LAT2	9.33	9.72	0.4	0.3	8.55	10.36	0.54	2	6	5	1
ENSG00000070193	FGF10	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000204482	LST1	7.0	6.54	-0.45	-0.4	5.52	7.78	0.63	10	2	5	5
ENSG00000091428	RAPGEF4	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000160593	JAML	9.44	9.97	0.52	0.12	6.82	12.55	1.77	4	7	1	4
ENSG00000087301	TXNDC16	7.75	7.75	-0.0	0.0	6.77	8.41	0.46	6	2	9	1
ENSG00000163734	CXCL3	8.44	7.9	-0.54	-0.22	6.11	9.81	1.08	9	3	2	7
ENSG00000102755	FLT1	6.33	6.33	-0.0	0.0	4.32	8.32	1.34	6	5	2	5
ENSG00000136068	FLNB	7.28	7.16	-0.12	0.0	5.92	8.4	0.8	7	3	5	4
ENSG00000177105	RHOG	9.1	9.15	0.05	0.0	8.45	9.82	0.37	5	1	9	2
ENSG00000131981	LGALS3	9.9	9.69	-0.21	0.0	8.89	11.31	0.69	8	2	5	5
ENSG00000221869	CEBPD	10.76	10.86	0.1	0.0	9.52	12.22	0.69	5	2	7	3
ENSG00000196664	TLR7	4.94	4.68	-0.26	-0.11	4.32	6.05	0.52	9	1	4	7
ENSG00000132155	RAF1	9.78	9.75	-0.03	0.0	9.47	10.09	0.19	7	0	12	0
ENSG00000105835	NAMPT	10.11	10.22	0.11	0.0	8.79	11.09	0.74	5	5	5	2
ENSG00000174059	CD34	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000139318	DUSP6	8.64	8.77	0.13	0.0	7.56	9.91	0.83	5	6	3	3
ENSG00000151882	CCL28	7.9	7.97	0.07	0.0	7.39	8.59	0.46	5	3	8	1
ENSG00000113070	HBEGF	4.83	4.67	-0.16	0.0	4.32	6.15	0.54	8	1	4	7
ENSG00000171049	FPR2	4.52	4.35	-0.16	0.0	4.32	4.72	0.11	11	0	12	0
ENSG00000162733	DDR2	4.89	4.47	-0.42	-0.27	4.32	5.39	0.29	11	1	4	7
ENSG00000171720	HDAC3	8.35	8.42	0.08	0.11	8.11	8.58	0.15	3	0	12	0
ENSG00000136810	TXN	11.86	11.38	-0.48	-0.22	9.85	12.95	0.97	9	3	2	7
ENSG00000183431	SF3A3	8.63	8.71	0.08	0.11	8.39	8.9	0.16	3	0	12	0
ENSG00000026508	CD44	12.05	12.05	-0.0	0.0	11.5	12.57	0.39	6	1	9	2
ENSG00000113249	HAVCR1	7.39	7.68	0.28	0.12	6.27	9.08	0.91	4	7	1	4
ENSG00000153879	CEBPG	9.58	9.77	0.19	0.22	9.06	10.33	0.37	3	2	9	1
ENSG00000121797	CCRL2	5.62	5.85	0.24	0.12	4.32	6.58	0.73	4	7	2	3
ENSG00000176170	SPHK1	4.87	4.87	0.0	0.0	4.32	5.45	0.38	6	1	9	2
ENSG00000197747	S100A10	10.11	10.01	-0.09	-0.12	9.58	10.52	0.3	8	0	11	1
ENSG00000158050	DUSP2	8.52	8.89	0.37	0.12	7.09	10.34	1.15	4	6	2	4
ENSG00000232810	TNF	10.15	9.75	-0.4	-0.12	7.88	11.88	1.26	8	4	1	7
ENSG00000150093	ITGB1	11.73	11.48	-0.25	-0.22	10.68	12.3	0.49	9	1	8	3
ENSG00000184557	SOCS3	7.11	7.4	0.3	0.12	5.0	9.35	1.07	4	4	6	2
ENSG00000108405	P2RX1	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000174775	HRAS	6.87	6.91	0.04	0.14	6.33	7.36	0.3	5	0	11	1
ENSG00000039068	CDH1	4.49	4.35	-0.13	-0.09	4.32	4.65	0.09	11	0	12	0
ENSG00000164400	CSF2	7.08	8.46	1.38	0.22	4.32	12.46	2.8	3	8	1	3
ENSG00000197646	PDCD1LG2	4.73	4.52	-0.2	0.0	4.32	5.39	0.37	9	1	11	0
ENSG00000090863	GLG1	10.37	10.47	0.1	0.33	10.12	10.89	0.21	3	1	11	0
ENSG00000174175	SELP	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000172243	CLEC7A	6.42	6.09	-0.33	-0.12	4.32	8.33	1.11	8	3	3	6
ENSG00000122025	FLT3	5.29	5.6	0.3	0.22	4.32	6.36	0.6	3	5	6	1
ENSG00000155090	KLF10	9.29	9.63	0.34	0.25	7.65	11.19	1.1	4	6	2	4
ENSG00000112149	CD83	9.59	10.08	0.49	0.11	8.2	11.42	0.96	3	8	1	3
ENSG00000154734	ADAMTS1	6.85	6.98	0.12	0.0	5.5	8.5	0.88	5	5	4	3
ENSG00000085511	MAP3K4	8.78	8.88	0.1	0.0	8.24	9.3	0.32	4	1	10	1
ENSG00000186810	CXCR3	8.94	8.8	-0.14	-0.14	7.01	10.91	1.04	7	3	4	5
ENSG00000188676	IDO2	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000004468	CD38	9.41	9.13	-0.28	0.0	7.97	10.81	0.86	8	3	1	8
ENSG00000140678	ITGAX	9.8	9.8	-0.0	0.0	8.72	10.59	0.55	6	3	7	2
ENSG00000180871	CXCR2	6.76	6.04	-0.72	-0.3	4.32	8.28	1.03	10	2	2	8
ENSG00000136244	IL6	7.44	6.17	-1.27	0.0	4.32	10.48	2.3	9	3	0	9
ENSG00000121578	B4GALT4	7.45	7.47	0.02	0.0	7.24	7.71	0.15	5	0	12	0
ENSG00000171860	C3AR1	7.21	7.21	-0.0	0.0	6.06	8.21	0.61	6	2	8	2
ENSG00000112902	SEMA5A	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000113319	RASGRF2	5.26	4.98	-0.28	-0.33	4.32	6.41	0.61	9	1	7	4
ENSG00000121858	TNFSF10	10.76	10.18	-0.58	-0.11	8.72	12.33	1.13	9	3	1	8
ENSG00000166090	IL25	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000163131	CTSS	11.39	11.48	0.09	0.14	10.71	12.55	0.62	5	3	5	4
ENSG00000002586	CD99	9.86	9.83	-0.03	0.0	9.4	10.17	0.2	7	0	12	0
ENSG00000123610	TNFAIP6	5.78	5.67	-0.11	0.0	4.54	7.12	0.75	7	3	4	5
ENSG00000160255	ITGB2	10.39	10.46	0.07	0.0	9.34	11.41	0.5	5	2	9	1
	ERCC_00034.1	6.68	6.64	-0.05	0.0	6.46	6.93	0.15	8	0	12	0
ENSG00000113525	IL5	4.45	4.34	-0.11	0.0	4.32	4.58	0.07	11	0	12	0
ENSG00000135077	HAVCR2	9.72	10.04	0.32	0.12	8.15	11.79	1.13	4	5	4	3
ENSG00000154222	CC2D1B	8.7	8.74	0.04	0.14	8.29	9.22	0.28	5	1	11	0
ENSG00000112984	KIF20A	4.88	4.52	-0.36	-0.1	4.32	5.72	0.42	10	1	2	9
ENSG00000181649	PHLDA2	4.67	4.62	-0.05	0.0	4.32	5.16	0.3	7	0	12	0
ENSG00000226979	LTA	9.65	8.45	-1.19	0.0	6.09	12.08	2.16	9	3	0	9
ENSG00000104998	IL27RA	8.03	7.96	-0.07	0.0	7.47	8.71	0.45	7	2	7	3
ENSG00000198746	GPATCH3	6.03	5.92	-0.11	-0.12	5.48	6.52	0.34	8	0	10	2
ENSG00000023445	BIRC3	11.2	11.72	0.52	0.0	9.41	13.01	1.01	3	9	1	2
ENSG00000198223	CSF2RA	8.16	8.02	-0.14	-0.12	7.55	8.96	0.44	8	1	7	4
ENSG00000160791	CCR5	7.9	8.38	0.48	0.22	6.68	10.04	0.93	3	7	2	3
ENSG00000134748	PRPF38A	10.38	10.45	0.07	0.0	10.18	10.74	0.15	3	0	12	0
ENSG00000174125	TLR1	8.62	8.54	-0.08	0.0	7.78	9.41	0.54	7	3	6	3
ENSG00000197405	C5AR1	5.88	5.41	-0.46	-0.11	4.32	7.26	0.9	9	2	2	8
ENSG00000074771	NOX3	4.32	4.32	0.0	0.0	4.32	4.32	0.0	0	0	12	0
ENSG00000101665	SMAD7	11.01	10.91	-0.1	0.0	10.15	12.0	0.64	7	3	3	6
ENSG00000188389	PDCD1	5.18	4.96	-0.22	-0.12	4.32	6.47	0.69	8	3	4	5
ENSG00000104774	MAN2B1	8.04	7.95	-0.1	0.0	7.54	8.61	0.32	8	1	10	1
ENSG00000175592	FOSL1	5.35	5.24	-0.11	0.0	4.32	6.44	0.76	7	3	4	5
ENSG00000143320	CRABP2	5.8	5.59	-0.2	-0.12	4.33	7.09	0.7	8	2	5	5
