ArrayID	Name	BitVector
ENSG00000006071	ABCC8	200210020110
ENSG00000111271	ACAD10	222111021110
ENSG00000102794	ACOD1	201000222
ENSG00000184227	ACOT1	111111111111
ENSG00000162390	ACOT11	111111111111
ENSG00000161533	ACOX1	111111111111
ENSG00000075624	ACTB	100011000222
ENSG00000135074	ADAM19	222
ENSG00000151651	ADAM8	101201111111
ENSG00000154734	ADAMTS1	120111020222
ENSG00000151388	ADAMTS12	220100110110
ENSG00000138316	ADAMTS14	111111111111
ENSG00000140470	ADAMTS17	220200211110
ENSG00000087116	ADAMTS2	111111111111
ENSG00000156140	ADAMTS3	111111111111
ENSG00000158859	ADAMTS4	220100100010
ENSG00000163638	ADAMTS9	111111111111
ENSG00000241684	ADAMTS9-AS2	111111111111
ENSG00000078549	ADCYAP1R1	111111111111
ENSG00000174837	ADGRE1	111111111111
ENSG00000123146	ADGRE5	100212202121
ENSG00000128271	ADORA2A	100111212222
ENSG00000282608	ADORA3	220100000010
ENSG00000204472	AIF1	222222020000
ENSG00000170776	AKAP13	111111101111
ENSG00000170017	ALCAM	111121011111
ENSG00000161905	ALOX15	111111111111
ENSG00000012779	ALOX5	222101000000
ENSG00000154188	ANGPT1	220120010010
ENSG00000091879	ANGPT2	111111111111
ENSG00000011201	ANOS1	111111111111
ENSG00000135046	ANXA1	111201111111
ENSG00000196975	ANXA4	212111010111
ENSG00000136250	AOAH	222111111010
ENSG00000130203	APOE	200000000000
ENSG00000109321	AREG	202202101
ENSG00000165527	ARF6	11111111111
ENSG00000118520	ARG1	111111111111
ENSG00000214944	ARHGEF28	102111111010
ENSG00000129675	ARHGEF6	111111111111
ENSG00000162772	ATF3	222221112
ENSG00000121578	B4GALT4	111111111111
ENSG00000156127	BATF	110001010122
ENSG00000123685	BATF3	222112222
ENSG00000142867	BCL10	111111111111
ENSG00000171791	BCL2	112121222
ENSG00000113916	BCL6	111222222010
ENSG00000015475	BID	111112101112
ENSG00000110330	BIRC2	101211112011
