AffyID	name	thr	mean	mean-thr	perc	min	max	sd	thrNum	hi	int	lo
NFKBIA	NFKBIA	12.50	12.80	0.30	0.12	10.89	14.19	0.96	4	7	2	3
CEACAM8	CEACAM8	4.32	4.32	0.00	0.00	4.32	4.32	0.00	0	0	12	0
SMAD1	SMAD1	4.99	4.99	-0.00	0.00	4.32	5.64	0.46	6	3	7	2
MMP19	MMP19	6.28	6.09	-0.19	0.00	5.31	7.20	0.60	8	2	5	5
EEF1A1	EEF1A1	15.61	15.61	0.00	0.00	14.92	16.21	0.45	6	2	8	2
AGK	AGK	9.27	9.49	0.21	0.11	8.67	10.08	0.43	3	3	8	1
TLR8	TLR8	5.81	5.71	-0.10	0.00	4.43	6.88	0.68	7	3	5	4
SKIL	SKIL	10.00	10.00	0.00	0.00	8.76	11.17	0.75	6	3	6	3
IKBKE	IKBKE	7.37	7.32	-0.05	0.00	6.66	8.17	0.39	7	1	9	2
ZNF148	ZNF148	9.38	9.38	0.00	0.00	9.17	9.69	0.16	6	0	12	0
GATA6	GATA6	4.50	4.35	-0.15	0.00	4.32	4.68	0.10	11	0	12	0
FCGR3A	FCGR3A	11.33	11.43	0.10	0.00	10.04	12.31	0.68	5	4	5	3
IL3	IL3	6.29	5.72	-0.57	-0.20	4.55	7.67	0.75	10	1	3	8
AKAP13	AKAP13	10.02	10.02	0.00	0.00	9.42	10.50	0.35	6	0	11	1
LTA4H	LTA4H	9.42	9.63	0.21	0.22	8.88	10.37	0.42	3	3	7	2
ERCC_00002.1	ERCC_00002.1	12.41	12.41	0.00	0.00	12.10	12.76	0.18	6	0	12	0
USP39	USP39	8.64	8.62	-0.02	0.00	8.40	8.82	0.15	7	0	12	0
TNFSF9	TNFSF9	7.55	7.41	-0.14	-0.14	5.50	8.73	0.99	7	4	4	4
CDH4	CDH4	4.75	4.61	-0.14	0.00	4.32	5.71	0.44	8	1	11	0
S100A8	S100A8	7.68	7.24	-0.44	0.00	5.27	9.98	1.42	8	2	2	8
TAP2	TAP2	9.01	8.74	-0.27	-0.22	8.13	9.90	0.52	9	1	5	6
TSPAN8	TSPAN8	4.32	4.32	0.00	0.00	4.32	4.32	0.00	0	0	12	0
COL4A2	COL4A2	5.15	4.69	-0.46	-0.10	4.32	6.16	0.56	10	1	2	9
