ProbeID	Ptr	Name	Description
ABCC8	145	ABCC8	ABCC8
ACAD10	378	ACAD10	ACAD10
ACOD1	615	ACOD1	ACOD1
ACOT1	847	ACOT1	ACOT1
ACOT11	1081	ACOT11	ACOT11
ACOX1	1317	ACOX1	ACOX1
ACTB	1546	ACTB	ACTB
ADAM19	1785	ADAM19	ADAM19
ADAM8	2021	ADAM8	ADAM8
ADAMTS1	2254	ADAMTS1	ADAMTS1
ADAMTS12	2496	ADAMTS12	ADAMTS12
ADAMTS14	2741	ADAMTS14	ADAMTS14
ADAMTS17	2983	ADAMTS17	ADAMTS17
ADAMTS2	3226	ADAMTS2	ADAMTS2
ADAMTS3	3466	ADAMTS3	ADAMTS3
ADAMTS4	3706	ADAMTS4	ADAMTS4
ADAMTS9	3947	ADAMTS9	ADAMTS9
ADAMTS9-AS2	4187	ADAMTS9-AS2	ADAMTS9-AS2
ADCYAP1R1	4439	ADCYAP1R1	ADCYAP1R1
ADGRE1	4685	ADGRE1	ADGRE1
ADGRE5	4922	ADGRE5	ADGRE5
ADORA2A	5170	ADORA2A	ADORA2A
ADORA3	5410	ADORA3	ADORA3
AIF1	5647	AIF1	AIF1
AKAP13	5872	AKAP13	AKAP13
ALCAM	6113	ALCAM	ALCAM
ALOX15	6348	ALOX15	ALOX15
ALOX5	6585	ALOX5	ALOX5
ANGPT1	6821	ANGPT1	ANGPT1
ANGPT2	7060	ANGPT2	ANGPT2
ANOS1	7297	ANOS1	ANOS1
ANXA1	7531	ANXA1	ANXA1
ANXA4	7777	ANXA4	ANXA4
AOAH	8011	AOAH	AOAH
APOE	8251	APOE	APOE
AREG	8483	AREG	AREG
ARF6	8713	ARF6	ARF6
ARHGEF28	8951	ARHGEF28	ARHGEF28
ARHGEF6	9190	ARHGEF6	ARHGEF6
ATF3	9431	ATF3	ATF3
B4GALT4	9664	B4GALT4	B4GALT4
BATF	9903	BATF	BATF
BATF3	10133	BATF3	BATF3
BCL10	10364	BCL10	BCL10
BCL2	10598	BCL2	BCL2
BCL6	10829	BCL6	BCL6
BID	11059	BID	BID
BIRC2	11284	BIRC2	BIRC2
BIRC3	11521	BIRC3	BIRC3
BIRC5	11763	BIRC5	BIRC5
BMP8A	11997	BMP8A	BMP8A
BTG2	12232	BTG2	BTG2
BTK	12465	BTK	BTK
BTLA	12691	BTLA	BTLA
C1QA	12920	C1QA	C1QA
C1QB	13151	C1QB	C1QB
C1QC	13382	C1QC	C1QC
C3	13612	C3	C3
C3AR1	13838	C3AR1	C3AR1
C4A	14073	C4A	C4A
C5	14301	C5	C5
C5AR1	14527	C5AR1	C5AR1
CALR	14762	CALR	CALR
CAMP	15002	CAMP	CAMP
CASP10	15233	CASP10	CASP10
CASP5	15466	CASP5	CASP5
CASP7	15700	CASP7	CASP7
CAV1	15933	CAV1	CAV1
CBR1	16164	CBR1	CBR1
CCL1	16400	CCL1	CCL1
CCL11	16635	CCL11	CCL11
CCL13	16870	CCL13	CCL13
CCL17	17104	CCL17	CCL17
CCL18	17334	CCL18	CCL18
CCL19	17568	CCL19	CCL19
CCL2	17801	CCL2	CCL2
CCL20	18034	CCL20	CCL20
CCL22	18266	CCL22	CCL22
CCL24	18501	CCL24	CCL24
CCL28	18735	CCL28	CCL28
CCL3	18966	CCL3	CCL3
CCL4	19202	CCL4	CCL4
CCL5	19442	CCL5	CCL5
CCL7	19684	CCL7	CCL7
CCL8	19914	CCL8	CCL8
CCNB2	20148	CCNB2	CCNB2
CCR1	20380	CCR1	CCR1
CCR2	20611	CCR2	CCR2
CCR3	20843	CCR3	CCR3
CCR5	21074	CCR5	CCR5
